obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
589.6114,0.0003,589.611161,2.5e-05,21,L3552,,,,,,,,,
589.66111,0.00024,589.66111,3e-05,46,L12239,,,,,,,,,
589.67885,7e-05,589.678737,3e-06,95,L5951,,,,,,,,,
589.7123,0.0004,589.712033,2.5e-05,7,L12239,,,,,,,,,
589.7246,0.0003,589.724215,1.4e-05,10,L3552,,,,,,,,,
589.9042,0.0004,589.90559,3e-05,9,L12239,,,,,,,,,
589.9302,0.0003,589.930361,1.1e-05,26,L12239,,,,,,,,,
589.9466,0.0003,589.946333,9e-06,85,L3552,,,,,,,,,
589.95228,4e-05,589.952291,1.1e-05,270,L5951,,,,,,,,,
589.984405,1.4e-05,589.984396,3e-06,930,L18702,,,,,,,,,
589.99241,0.00017,589.991608,1.8e-05,88,L12239,,,,,,,,,
590.035,0.0003,590.035463,1.8e-05,12,L12239,,,,,,,,,
590.0448,0.0003,590.044617,1.1e-05,21,L3552,,,,,,,,,
590.1928,0.0003,590.192834,1.8e-05,29,L12239,,,,,,,,,
590.2602,3e-05,590.260201,8e-06,480,L5951,,,,,,,,,
590.33383,0.00017,590.333746,6e-06,91,L12239,,,,,,,,,
590.34926,6e-05,590.349361,1.8e-05,120,L5951,,,,,,,,,
590.3643,0.0003,590.363218,1.8e-05,16,L12239,,,,,,,,,
590.39348,0.00021,590.393446,2.1e-05,48,L12239,,,,,,,,,
590.43079,0.00024,590.431101,6e-06,45,L12239,,,,,,,,,
